HDOP,Lat,Lon,NumSats,GPSDate,GPSTime,FixTime,BestTime,EndTime
184,46.717354,-116.99189,4,120318,11391400,5766,5908,5880
135,46.717495,-116.99178,5,120318,11494000,10934,10959,10932
224,46.717491,-116.99176,4,120318,12000200,12105,12132,12104
238,46.717403,-116.99195,4,120318,12103500,24279,24307,24278
168,46.717453,-116.99199,6,120318,12211000,38454,38479,38452
177,46.717422,-116.99197,6,120318,12310200,9648,9674,9647
188,46.717609,-116.99184,6,120318,12412200,8850,8875,8849
204,46.717472,-116.99187,5,120318,12514900,15065,15091,15064
170,46.717464,-116.99165,5,120318,13022900,34248,34393,34368
162,46.717556,-116.99172,5,120318,13123700,21403,21543,21518
156,46.717381,-116.99199,6,120318,13230100,24591,24617,24590
195,46.717319,-116.99192,6,120318,13330100,4110,4136,4110
171,46.717499,-116.99178,6,120318,13433000,5953,12097,12069
187,46.717796,-116.99185,6,120318,13535600,6129,17264,17237
216,46.717442,-116.99195,6,120318,14040400,4310,4337,4309
220,46.717457,-116.99183,7,120318,14145200,31492,31634,31607
205,46.71748,-116.99179,7,120318,14245100,9705,9732,9704
184,46.717453,-116.99166,8,120318,14351200,8944,10072,10046
182,46.717289,-116.99193,8,120318,14453000,6168,7314,7287
200,46.717361,-116.99168,7,120318,14554900,5437,5583,5558
